태풍명,영문명,영향도,활동년도,활동시기
린파,LINFA,0,2020,10
낭카,NANGKA,0,2020,10
사우델,SAUDEL,0,2020,10
몰라베,MOLAVE,0,2020,10
고니,GONI,0,2020,10
앗사니,ATSANI,0,2020,10
아타우,ETAU,0,2020,11
밤꼬,VAMCO,0,2020,11
크로반,KROVANH,0,2020,12
두쥐안,DUJUAN,0,2021,2
수리개,SURIGAE,0,2021,4
초이완,CHOI-WAN,0,2021,5
고구마,KOGUMA,0,2021,6
참피,CHAMPI,0,2021,6
인파,IN-FA,0,2021,7
츰파카,CEMPAKA,0,2021,7
네파탁,NEPARTAK,0,2021,7
미리내,MIRINAE,0,2021,8
니다,NIDA,0,2021,8
루핏,LUPIT,2,2021,8
오마이스,OMAIS,1,2021,8
꼰선,CONSON,0,2021,9
찬투,CHANTHU,2,2021,9
뎬무,DIANMU,0,2021,9
민들레,MINDULLE,0,2021,9
라이언록,LIONROCK,0,2021,10
곤파스,KOMPASU,0,2021,10
남테운,NAMTHEUN,0,2021,10
말로,MALOU,0,2021,10
냐토,NYATOH,0,2021,11
라이,RAI,0,2021,12
말라카스,MALAKAS,0,2022,4
메기,MEGI,0,2022,4
차바,CHABA,0,2022,6
에어리,AERE,2,2022,7
송다,SONGDA,2,2022,7
트라세,TRASES,2,2022,7
무란,MULAN,0,2022,8
메아리,MEARI,0,2022,8
망온,MA-ON,0,2022,8
도카게,TOKAGE,0,2022,8
힌남노,HINNAMNOR,1,2022,8
무이파,MUIFA,0,2022,9
므르복,MERBOK,0,2022,9
탈라스,TALAS,0,2022,9
노루,NORU,0,2022,9
꿀랍,KULAP,0,2022,9
난마돌,NANMADOL,2,2022,9
로키,ROKE,0,2022,9
선까,SONCA,0,2022,10
네삿,NESAT,0,2022,10
하이탕,HAITANG,0,2022,10
날개,NALGAE,0,2022,10
바냔,BANYAN,0,2022,10
야마네코,YAMANEKO,0,2022,11
파카르,PAKHAR,0,2022,12
상우,SANVU,0,2023,4
마와르,MAWAR,0,2023,5
구촐,GUCHOL,0,2023,6
탈림,TALIM,0,2023,7
독수리,DOKSURI,0,2023,7
카눈,KHANUN,1,2023,7
란,LAN,0,2023,8
도라,DORA,0,2023,8
담레이,DAMREY,0,2023,8
사올라,SAOLA,0,2023,8
하이쿠이,HAIKUI,0,2023,8
기러기,KIROGI,0,2023,8
윈욍,YUN-YEUNG,0,2023,9
고이누,KOINU,0,2023,9
볼라벤,BOLAVEN,0,2023,10
산바,SANBA,0,2023,10
즐라왓,JELAWAT,0,2023,12
에위니아,EWINIAR,0,2024,5
말릭시,MALIKSI,0,2024,5
개미,GAEMI,0,2024,7
프라피룬,PRAPIROON,0,2024,7
마리아,MARIA,0,2024,8
손띤,SON-TINH,0,2024,8
암필,AMPIL,0,2024,8
우쿵,WUKONG,0,2024,8
종다리,JONGDARI,2,2024,8
산산,SHANSHAN,2,2024,8
야기,YAGI,0,2024,9
